id,Sex,Age,AgeGroup,PassengerClass,Survived
110,male,47,2,1,Died
111,female,14,0,3,Died
112,male,22,1,3,Died
113,female,20,0,3,Died
114,female,17,0,3,Died
115,male,21,1,3,Died
116,male,70,3,3,Died
117,male,29,1,2,Died
118,male,24,1,1,Died
119,female,2,0,3,Died
120,male,21,1,2,Died
122,male,32,1,2,Died
123,female,32,1,2,Survived
124,male,54,2,1,Died
125,male,12,0,3,Survived
127,male,24,1,3,Survived
129,male,45,2,3,Died
130,male,33,1,3,Died
131,male,20,0,3,Died
132,female,47,2,3,Died
133,female,29,1,2,Survived
134,male,25,1,2,Died
135,male,23,1,2,Died
136,female,19,0,1,Survived
137,male,37,1,1,Died
138,male,16,0,3,Died
139,male,24,1,1,Died
141,female,22,1,3,Survived
142,female,24,1,3,Survived
143,male,19,0,3,Died
144,male,18,0,2,Died
145,male,19,0,2,Died
146,male,27,1,3,Survived
147,female,9,0,3,Died
148,male,36,1,2,Died
149,male,42,2,2,Died
150,male,51,2,2,Died
151,female,22,1,1,Survived
152,male,55,2,3,Died
153,male,40,2,3,Died
155,male,51,2,1,Died
156,female,16,0,3,Survived
157,male,30,1,3,Died
160,male,44,2,3,Died
161,female,40,1,2,Survived
162,male,26,1,3,Died
163,male,17,0,3,Died
164,male,1,0,3,Died
165,male,9,0,3,Survived
167,female,45,2,3,Died
169,male,28,1,3,Died
170,male,61,3,1,Died
171,male,4,0,3,Died
172,female,1,0,3,Survived
173,male,21,1,3,Died
174,male,56,2,1,Died
175,male,18,0,3,Died
177,female,50,2,1,Died
178,male,30,1,2,Died
179,male,36,1,3,Died
182,male,9,0,3,Died
183,male,1,0,2,Survived
184,female,4,0,3,Survived
187,male,45,2,1,Survived
188,male,40,1,3,Died
189,male,36,1,3,Died
190,female,32,1,2,Survived
191,male,19,0,2,Died
192,female,19,0,3,Survived
193,male,3,0,2,Survived
194,female,44,2,1,Survived
195,female,58,2,1,Survived
197,male,42,2,3,Died
199,female,24,1,2,Died
200,male,28,1,3,Died
202,male,34,1,3,Died
203,male,45,2,3,Died
204,male,18,0,3,Survived
205,female,2,0,3,Died
206,male,32,1,3,Died
207,male,26,1,3,Survived
208,female,16,0,3,Survived
209,male,40,1,1,Survived
210,male,24,1,3,Died
211,female,35,1,2,Survived
212,male,22,1,3,Died
213,male,30,1,2,Died
215,female,31,1,1,Survived
216,female,27,1,3,Survived
217,male,42,2,2,Died
218,female,32,1,1,Survived
219,male,30,1,2,Died
220,male,16,0,3,Survived
221,male,27,1,2,Died
222,male,51,2,3,Died
224,male,38,1,1,Survived
225,male,22,1,3,Died
226,male,19,0,2,Survived
227,male,20,1,3,Died
228,male,18,0,2,Died
230,female,35,1,1,Survived
231,male,29,1,3,Died
232,male,59,2,2,Died
233,female,5,0,3,Survived
234,male,24,1,2,Died
236,male,44,2,2,Died
237,female,8,0,2,Survived
238,male,19,0,2,Died
239,male,33,1,2,Died
242,male,29,1,2,Died
243,male,22,1,3,Died
244,male,30,1,3,Died
245,male,44,2,1,Died
246,female,25,1,3,Died
247,female,24,1,2,Survived
248,male,37,1,1,Survived
249,male,54,2,2,Died
251,female,29,1,3,Died
252,male,62,3,1,Died
253,male,30,1,3,Died
254,female,41,2,3,Died
255,female,29,1,3,Survived
257,female,30,1,1,Survived
258,female,35,1,1,Survived
259,female,50,2,2,Survived
261,male,3,0,3,Survived
262,male,52,2,1,Died
263,male,40,1,1,Died
265,male,36,1,2,Died
266,male,16,0,3,Died
267,male,25,1,3,Survived
268,female,58,2,1,Survived
269,female,35,1,1,Survived
271,male,25,1,3,Survived
272,female,41,2,2,Survived
273,male,37,1,1,Died
275,female,63,3,1,Survived
276,female,45,2,3,Died
278,male,7,0,3,Died
279,female,35,1,3,Survived
280,male,65,3,3,Died
281,male,28,1,3,Died
282,male,16,0,3,Died
283,male,19,0,3,Survived
285,male,33,1,3,Died
286,male,30,1,3,Survived
287,male,22,1,3,Died
288,male,42,2,2,Survived
289,female,22,1,3,Survived
290,female,26,1,1,Survived
291,female,19,0,1,Survived
292,male,36,1,2,Died
293,female,24,1,3,Died
294,male,24,1,3,Died
296,male,23,1,3,Died
297,female,2,0,1,Died
299,female,50,2,1,Survived
302,male,19,0,3,Died
305,male,0,0,1,Survived
307,female,17,0,1,Survived
308,male,30,1,2,Died
309,female,30,1,1,Survived
310,female,24,1,1,Survived
311,female,18,0,1,Survived
312,female,26,1,2,Died
313,male,28,1,3,Died
314,male,43,2,2,Died
315,female,26,1,3,Survived
316,female,24,1,2,Survived
317,male,54,2,2,Died
318,female,31,1,1,Survived
319,female,40,1,1,Survived
320,male,22,1,3,Died
321,male,27,1,3,Died
322,female,30,1,2,Survived
323,female,22,1,2,Survived
325,female,36,1,1,Survived
326,male,61,3,3,Died
327,female,36,1,2,Survived
328,female,31,1,3,Survived
329,female,16,0,1,Survived
331,male,45,2,1,Died
332,male,38,1,1,Died
333,male,16,0,3,Died
336,male,29,1,1,Died
337,female,41,2,1,Survived
338,male,45,2,3,Survived
339,male,45,2,1,Died
340,male,2,0,2,Survived
341,female,24,1,1,Survived
342,male,28,1,2,Died
343,male,25,1,2,Died
344,male,36,1,2,Died
345,female,24,1,2,Survived
346,female,40,1,2,Survived
348,male,3,0,3,Survived
349,male,42,2,3,Died
350,male,23,1,3,Died
352,male,15,0,3,Died
353,male,25,1,3,Died
355,male,28,1,3,Died
356,female,22,1,1,Survived
357,female,38,1,2,Died
360,male,40,1,3,Died
361,male,29,1,2,Died
362,female,45,2,3,Died
363,male,35,1,3,Died
365,male,30,1,3,Died
366,female,60,2,1,Survived
369,female,24,1,1,Survived
370,male,25,1,1,Survived
371,male,18,0,3,Died
372,male,19,0,3,Died
373,male,22,1,1,Died
374,female,3,0,3,Died
376,female,22,1,3,Survived
377,male,27,1,1,Died
378,male,20,0,3,Died
379,male,19,0,3,Died
380,female,42,2,1,Survived
381,female,1,0,3,Survived
382,male,32,1,3,Died
383,female,35,1,1,Survived
385,male,18,0,2,Died
386,male,1,0,3,Died
387,female,36,1,2,Survived
389,female,17,0,2,Survived
390,male,36,1,1,Survived
391,male,21,1,3,Survived
392,male,28,1,3,Died
393,female,23,1,1,Survived
394,female,24,1,3,Survived
395,male,22,1,3,Died
396,female,31,1,3,Died
397,male,46,2,2,Died
398,male,23,1,2,Died
399,female,28,1,2,Survived
400,male,39,1,3,Survived
401,male,26,1,3,Died
402,female,21,1,3,Died
403,male,28,1,3,Died
404,female,20,0,3,Died
405,male,34,1,2,Died
406,male,51,2,3,Died
407,male,3,0,2,Survived
408,male,21,1,3,Died
412,female,33,1,1,Survived
414,male,44,2,3,Survived
416,female,34,1,2,Survived
417,female,18,0,2,Survived
418,male,30,1,2,Died
419,female,10,0,3,Died
421,male,21,1,3,Died
422,male,29,1,3,Died
423,female,28,1,3,Died
424,male,18,0,3,Died
426,female,28,1,2,Survived
427,female,19,0,2,Survived
429,male,32,1,3,Survived
430,male,28,1,1,Survived
432,female,42,2,2,Survived
433,male,17,0,3,Died
434,male,50,2,1,Died
435,female,14,0,1,Survived
436,female,21,1,3,Died
437,female,24,1,2,Survived
438,male,64,3,1,Died
439,male,31,1,2,Died
440,female,45,2,2,Survived
441,male,20,0,3,Died
442,male,25,1,3,Died
443,female,28,1,2,Survived
445,male,4,0,1,Survived
446,female,13,0,2,Survived
447,male,34,1,1,Survived
448,female,5,0,3,Survived
449,male,52,2,1,Survived
450,male,36,1,2,Died
452,male,30,1,1,Died
453,male,49,2,1,Survived
455,male,29,1,3,Survived
456,male,65,3,1,Died
458,female,50,2,2,Survived
460,male,48,2,1,Survived
461,male,34,1,3,Died
462,male,47,2,1,Died
463,male,48,2,2,Died
465,male,38,1,3,Died
467,male,56,2,1,Died
469,female,0,0,3,Survived
471,male,38,1,3,Died
472,female,33,1,2,Survived
473,female,23,1,2,Survived
474,female,22,1,3,Died
476,male,34,1,2,Died
477,male,29,1,3,Died
478,male,22,1,3,Died
479,female,2,0,3,Survived
480,male,9,0,3,Died
482,male,50,2,3,Died
483,female,63,3,3,Survived
484,male,25,1,1,Survived
486,female,35,1,1,Survived
487,male,58,2,1,Died
488,male,30,1,3,Died
489,male,9,0,3,Survived
491,male,21,1,3,Died
492,male,55,2,1,Died
493,male,71,3,1,Died
494,male,21,1,3,Died
496,female,54,2,1,Survived
498,female,25,1,1,Died
499,male,24,1,3,Died
500,male,17,0,3,Died
501,female,21,1,3,Died
503,female,37,1,3,Died
504,female,16,0,1,Survived
505,male,18,0,1,Died
506,female,33,1,2,Survived
508,male,28,1,3,Died
509,male,26,1,3,Survived
510,male,29,1,3,Survived
512,male,36,1,1,Survived
513,female,54,2,1,Survived
514,male,24,1,3,Died
515,male,47,2,1,Died
516,female,34,1,2,Survived
518,female,36,1,2,Survived
519,male,32,1,3,Died
520,female,30,1,1,Survived
521,male,22,1,3,Died
523,female,44,2,1,Survived
525,male,40,2,3,Died
526,female,50,2,2,Survived
528,male,39,1,3,Died
529,male,23,1,2,Died
530,female,2,0,2,Survived
532,male,17,0,3,Died
534,female,30,1,3,Died
535,female,7,0,2,Survived
536,male,45,2,1,Died
537,female,30,1,1,Survived
539,female,22,1,1,Survived
540,female,36,1,1,Survived
541,female,9,0,3,Died
542,female,11,0,3,Died
543,male,32,1,2,Survived
544,male,50,2,1,Died
545,male,64,3,1,Died
546,female,19,0,2,Survived
548,male,33,1,3,Died
549,male,8,0,2,Survived
550,male,17,0,1,Survived
551,male,27,1,2,Died
553,male,22,1,3,Survived
554,female,22,1,3,Survived
555,male,62,3,1,Died
556,female,48,2,1,Survived
558,female,39,1,1,Survived
559,female,36,1,3,Survived
561,male,40,1,3,Died
562,male,28,1,2,Died
565,male,24,1,3,Died
566,male,19,0,3,Died
567,female,29,1,3,Died
569,male,32,1,3,Survived
570,male,62,3,2,Survived
571,female,53,2,1,Survived
572,male,36,1,1,Survived
574,male,16,0,3,Died
575,male,19,0,3,Died
576,female,34,1,2,Survived
577,female,39,1,1,Survived
579,male,32,1,3,Survived
580,female,25,1,2,Survived
581,female,39,1,1,Survived
582,male,54,2,2,Died
583,male,36,1,1,Died
585,female,18,0,1,Survived
586,male,47,2,2,Died
587,male,60,2,1,Survived
588,male,22,1,3,Died
590,male,35,1,3,Died
591,female,52,2,1,Survived
592,male,47,2,3,Died
594,male,37,1,2,Died
595,male,36,1,3,Died
597,male,49,2,3,Died
599,male,49,2,1,Survived
600,female,24,1,2,Survived
603,male,44,2,3,Died
604,male,35,1,1,Survived
605,male,36,1,3,Died
606,male,30,1,3,Died
607,male,27,1,1,Survived
608,female,22,1,2,Survived
609,female,40,1,1,Survived
610,female,39,1,3,Died
614,male,35,1,3,Died
615,female,24,1,2,Survived
616,male,34,1,3,Died
617,female,26,1,3,Died
618,female,4,0,2,Survived
619,male,26,1,2,Died
620,male,27,1,3,Died
621,male,42,2,1,Survived
622,male,20,0,3,Survived
623,male,21,1,3,Died
624,male,21,1,3,Died
625,male,61,3,1,Died
626,male,57,2,2,Died
627,female,21,1,1,Survived
628,male,26,1,3,Died
630,male,80,3,1,Survived
631,male,51,2,3,Died
632,male,32,1,1,Survived
634,female,9,0,3,Died
635,female,28,1,2,Survived
636,male,32,1,3,Died
637,male,31,1,2,Died
638,female,41,2,3,Died
640,male,20,0,3,Died
641,female,24,1,1,Survived
642,female,2,0,3,Died
644,female,0,0,3,Survived
645,male,48,2,1,Survived
646,male,19,0,3,Died
647,male,56,2,1,Survived
649,female,23,1,3,Survived
651,female,18,0,2,Survived
652,male,21,1,3,Died
654,female,18,0,3,Died
655,male,24,1,2,Died
657,female,32,1,3,Died
658,male,23,1,2,Died
659,male,58,2,1,Died
660,male,50,2,1,Survived
661,male,40,1,3,Died
662,male,47,2,1,Died
663,male,36,1,3,Died
664,male,20,0,3,Survived
665,male,32,1,2,Died
666,male,25,1,2,Died
668,male,43,2,3,Died
670,female,40,1,2,Survived
671,male,31,1,1,Died
672,male,70,3,2,Died
673,male,31,1,2,Survived
675,male,18,0,3,Died
676,male,24,1,3,Died
677,female,18,0,3,Survived
678,female,43,2,3,Died
679,male,36,1,1,Survived
681,male,27,1,1,Survived
682,male,20,0,3,Died
683,male,14,0,3,Died
684,male,60,2,2,Died
685,male,25,1,2,Died
686,male,14,0,3,Died
687,male,19,0,3,Died
688,male,18,0,3,Died
689,female,15,0,1,Survived
690,male,31,1,1,Survived
691,female,4,0,3,Survived
693,male,25,1,3,Died
694,male,60,2,1,Died
695,male,52,2,2,Died
696,male,44,2,3,Died
698,male,49,2,1,Died
699,male,42,2,3,Died
700,female,18,0,1,Survived
701,male,35,1,1,Survived
702,female,18,0,3,Died
703,male,25,1,3,Died
704,male,26,1,3,Died
705,male,39,1,2,Died
706,female,45,2,2,Survived
707,male,42,2,1,Survived
708,female,22,1,1,Survived
710,female,24,1,1,Survived
712,male,48,2,1,Survived
713,male,29,1,3,Died
714,male,52,2,2,Died
715,male,19,0,3,Died
716,female,38,1,1,Survived
717,female,27,1,2,Survived
719,male,33,1,3,Died
720,female,6,0,2,Survived
721,male,17,0,3,Died
722,male,34,1,2,Died
723,male,50,2,2,Died
724,male,27,1,1,Survived
725,male,20,0,3,Died
726,female,30,1,2,Survived
728,male,25,1,2,Died
729,female,25,1,3,Died
730,female,29,1,1,Survived
731,male,11,0,3,Died
733,male,23,1,2,Died
734,male,23,1,2,Died
735,male,28,1,3,Died
736,female,48,2,3,Died
737,male,35,1,1,Survived
741,male,36,1,1,Died
742,female,21,1,1,Survived
743,male,24,1,3,Died
744,male,31,1,3,Survived
745,male,70,3,1,Died
746,male,16,0,3,Died
747,female,30,1,2,Survived
748,male,19,0,1,Died
749,male,31,1,3,Died
750,female,4,0,2,Survived
751,male,6,0,3,Survived
752,male,33,1,3,Died
753,male,23,1,3,Died
754,female,48,2,2,Survived
755,male,0,0,2,Survived
756,male,28,1,3,Died
757,male,18,0,2,Died
758,male,34,1,3,Died
759,female,33,1,1,Survived
761,male,41,2,3,Died
762,male,20,0,3,Survived
763,female,36,1,1,Survived
764,male,16,0,3,Died
765,female,51,2,1,Survived
767,female,30,1,3,Died
769,male,32,1,3,Died
770,male,24,1,3,Died
771,male,48,2,3,Died
772,female,57,2,2,Died
774,female,54,2,2,Survived
775,male,18,0,3,Died
777,female,5,0,3,Survived
779,female,43,2,1,Survived
780,female,13,0,3,Survived
781,female,17,0,1,Survived
782,male,29,1,1,Died
784,male,25,1,3,Died
785,male,25,1,3,Died
786,female,18,0,3,Survived
787,male,8,0,3,Died
788,male,1,0,3,Survived
789,male,46,2,1,Died
791,male,16,0,2,Died
794,male,25,1,3,Died
795,male,39,1,2,Died
796,female,49,2,1,Survived
797,female,31,1,3,Survived
798,male,30,1,3,Died
799,female,30,1,3,Died
800,male,34,1,2,Died
801,female,31,1,2,Survived
802,male,11,0,1,Survived
803,male,0,0,3,Survived
804,male,27,1,3,Survived
805,male,31,1,3,Died
806,male,39,1,1,Died
807,female,18,0,3,Died
808,male,39,1,2,Died
809,female,33,1,1,Survived
810,male,26,1,3,Died
811,male,39,1,3,Died
812,male,35,1,2,Died
813,female,6,0,3,Died
814,male,30,1,3,Died
816,female,23,1,3,Died
817,male,31,1,2,Died
818,male,43,2,3,Died
819,male,10,0,3,Died
820,female,52,2,1,Survived
821,male,27,1,3,Survived
822,male,38,1,1,Died
823,female,27,1,3,Survived
824,male,2,0,3,Died
827,male,1,0,2,Survived
829,female,62,3,1,Survived
830,female,15,0,3,Survived
831,male,0,0,2,Survived
833,male,23,1,3,Died
834,male,18,0,3,Died
835,female,39,1,1,Survived
836,male,21,1,3,Died
838,male,32,1,3,Survived
840,male,20,0,3,Died
841,male,16,0,2,Died
842,female,30,1,1,Survived
843,male,34,1,3,Died
844,male,17,0,3,Died
845,male,42,2,3,Died
847,male,35,1,3,Died
848,male,28,1,2,Died
850,male,4,0,3,Died
851,male,74,3,3,Died
852,female,9,0,3,Died
853,female,16,0,1,Survived
854,female,44,2,2,Died
855,female,18,0,3,Survived
856,female,45,2,1,Survived
857,male,51,2,1,Survived
858,female,24,1,3,Survived
860,male,41,2,3,Died
861,male,21,1,2,Died
862,female,48,2,1,Survived
864,male,24,1,2,Died
865,female,42,2,2,Survived
866,female,27,1,2,Survived
867,male,31,1,1,Died
869,male,4,0,3,Survived
870,male,26,1,3,Died
871,female,47,2,1,Survived
872,male,33,1,1,Died
873,male,47,2,3,Died
874,female,28,1,2,Survived
875,female,15,0,3,Survived
876,male,20,0,3,Died
877,male,19,0,3,Died
879,female,56,2,1,Survived
880,female,25,1,2,Survived
881,male,33,1,3,Died
882,female,22,1,3,Died
883,male,28,1,2,Died
884,male,25,1,3,Died
885,female,39,1,3,Died
886,male,27,1,2,Died
887,female,19,0,1,Survived
889,male,26,1,1,Survived
890,male,32,1,3,Died
