id,Sex,Age,AgeGroup,PassengerClass,Survived
'356,1,22,1,1,1'
'357,1,38,1,2,0'
'360,0,40,1,3,0'
'361,0,29,1,2,0'
'362,1,45,2,3,0'
'363,0,35,1,3,0'
'365,0,30,1,3,0'
'366,1,60,2,1,1'
'369,1,24,1,1,1'
'370,0,25,1,1,1'
'371,0,18,0,3,0'
'372,0,19,0,3,0'
'373,0,22,1,1,0'
'374,1,3,0,3,0'
'376,1,22,1,3,1'
'377,0,27,1,1,0'
'378,0,20,0,3,0'
'379,0,19,0,3,0'
'380,1,42,2,1,1'
'381,1,1,0,3,1'
'382,0,32,1,3,0'
'383,1,35,1,1,1'
'385,0,18,0,2,0'
'386,0,1,0,3,0'
'387,1,36,1,2,1'
'389,1,17,0,2,1'
'390,0,36,1,1,1'
'391,0,21,1,3,1'
'392,0,28,1,3,0'
'393,1,23,1,1,1'
'394,1,24,1,3,1'
'395,0,22,1,3,0'
'396,1,31,1,3,0'
'397,0,46,2,2,0'
'398,0,23,1,2,0'
'399,1,28,1,2,1'
'400,0,39,1,3,1'
'401,0,26,1,3,0'
'402,1,21,1,3,0'
'403,0,28,1,3,0'
'404,1,20,0,3,0'
'405,0,34,1,2,0'
'406,0,51,2,3,0'
'407,0,3,0,2,1'
'408,0,21,1,3,0'
'412,1,33,1,1,1'
'414,0,44,2,3,1'
'416,1,34,1,2,1'
'417,1,18,0,2,1'
'418,0,30,1,2,0'
'419,1,10,0,3,0'
'421,0,21,1,3,0'
'422,0,29,1,3,0'
'423,1,28,1,3,0'
'424,0,18,0,3,0'
'426,1,28,1,2,1'
'427,1,19,0,2,1'
'429,0,32,1,3,1'
'430,0,28,1,1,1'
'432,1,42,2,2,1'
'433,0,17,0,3,0'
'434,0,50,2,1,0'
'435,1,14,0,1,1'
'436,1,21,1,3,0'
'437,1,24,1,2,1'
'438,0,64,3,1,0'
'439,0,31,1,2,0'
'440,1,45,2,2,1'
'441,0,20,0,3,0'
'442,0,25,1,3,0'
'443,1,28,1,2,1'
'445,0,4,0,1,1'
'446,1,13,0,2,1'
'447,0,34,1,1,1'
'448,1,5,0,3,1'
'449,0,52,2,1,1'
'450,0,36,1,2,0'
'452,0,30,1,1,0'
'453,0,49,2,1,1'
'455,0,29,1,3,1'
'456,0,65,3,1,0'
'458,1,50,2,2,1'
'460,0,48,2,1,1'
'461,0,34,1,3,0'
'462,0,47,2,1,0'
'463,0,48,2,2,0'
'465,0,38,1,3,0'
'467,0,56,2,1,0'
'469,1,0,0,3,1'
'471,0,38,1,3,0'
'472,1,33,1,2,1'
'473,1,23,1,2,1'
'474,1,22,1,3,0'
'476,0,34,1,2,0'
'477,0,29,1,3,0'
'478,0,22,1,3,0'
'479,1,2,0,3,1'
'480,0,9,0,3,0'
'482,0,50,2,3,0'
'483,1,63,3,3,1'
'484,0,25,1,1,1'
'486,1,35,1,1,1'
'487,0,58,2,1,0'
'488,0,30,1,3,0'
'489,0,9,0,3,1'
'491,0,21,1,3,0'
'492,0,55,2,1,0'
'493,0,71,3,1,0'
'494,0,21,1,3,0'
'496,1,54,2,1,1'
'498,1,25,1,1,0'
'499,0,24,1,3,0'
'500,0,17,0,3,0'
'501,1,21,1,3,0'
'503,1,37,1,3,0'
'504,1,16,0,1,1'
'505,0,18,0,1,0'
'506,1,33,1,2,1'
'508,0,28,1,3,0'
'509,0,26,1,3,1'
'510,0,29,1,3,1'
'512,0,36,1,1,1'
'513,1,54,2,1,1'
'514,0,24,1,3,0'
'515,0,47,2,1,0'
'516,1,34,1,2,1'
'518,1,36,1,2,1'
'519,0,32,1,3,0'
'520,1,30,1,1,1'
'521,0,22,1,3,0'
'523,1,44,2,1,1'
'525,0,40,2,3,0'
'526,1,50,2,2,1'
'528,0,39,1,3,0'
'529,0,23,1,2,0'
'530,1,2,0,2,1'
'532,0,17,0,3,0'
'534,1,30,1,3,0'
'535,1,7,0,2,1'
'536,0,45,2,1,0'
'537,1,30,1,1,1'
'539,1,22,1,1,1'
'540,1,36,1,1,1'
'541,1,9,0,3,0'
'542,1,11,0,3,0'
'543,0,32,1,2,1'
'544,0,50,2,1,0'
'545,0,64,3,1,0'
'546,1,19,0,2,1'
'548,0,33,1,3,0'
'549,0,8,0,2,1'
'550,0,17,0,1,1'
'551,0,27,1,2,0'
'553,0,22,1,3,1'
'554,1,22,1,3,1'
'555,0,62,3,1,0'
'556,1,48,2,1,1'
'558,1,39,1,1,1'
'559,1,36,1,3,1'
'561,0,40,1,3,0'
'562,0,28,1,2,0'
'565,0,24,1,3,0'
'566,0,19,0,3,0'
'567,1,29,1,3,0'
'569,0,32,1,3,1'
'570,0,62,3,2,1'
'571,1,53,2,1,1'
'572,0,36,1,1,1'
'574,0,16,0,3,0'
'575,0,19,0,3,0'
'576,1,34,1,2,1'
'577,1,39,1,1,1'
'579,0,32,1,3,1'
'580,1,25,1,2,1'
'581,1,39,1,1,1'
'582,0,54,2,2,0'
'583,0,36,1,1,0'
'585,1,18,0,1,1'
'586,0,47,2,2,0'
'587,0,60,2,1,1'
'588,0,22,1,3,0'
'590,0,35,1,3,0'
'591,1,52,2,1,1'
'592,0,47,2,3,0'
'594,0,37,1,2,0'
'595,0,36,1,3,0'
'597,0,49,2,3,0'
'599,0,49,2,1,1'
'600,1,24,1,2,1'
'603,0,44,2,3,0'
'604,0,35,1,1,1'
'605,0,36,1,3,0'
'606,0,30,1,3,0'
'607,0,27,1,1,1'
'608,1,22,1,2,1'
'609,1,40,1,1,1'
'610,1,39,1,3,0'
'614,0,35,1,3,0'
'615,1,24,1,2,1'
'616,0,34,1,3,0'
'617,1,26,1,3,0'
'618,1,4,0,2,1'
'619,0,26,1,2,0'
'620,0,27,1,3,0'
'621,0,42,2,1,1'
'622,0,20,0,3,1'
'623,0,21,1,3,0'
'624,0,21,1,3,0'
'625,0,61,3,1,0'
'626,0,57,2,2,0'
'627,1,21,1,1,1'
'628,0,26,1,3,0'
'630,0,80,3,1,1'
'631,0,51,2,3,0'
'632,0,32,1,1,1'
'634,1,9,0,3,0'
'635,1,28,1,2,1'
'636,0,32,1,3,0'
'637,0,31,1,2,0'
'638,1,41,2,3,0'
'640,0,20,0,3,0'
'641,1,24,1,1,1'
'642,1,2,0,3,0'
'644,1,0,0,3,1'
'645,0,48,2,1,1'
'646,0,19,0,3,0'
'647,0,56,2,1,1'
'649,1,23,1,3,1'
'651,1,18,0,2,1'
'652,0,21,1,3,0'
'654,1,18,0,3,0'
'655,0,24,1,2,0'
'657,1,32,1,3,0'
'658,0,23,1,2,0'
'659,0,58,2,1,0'
'660,0,50,2,1,1'
'661,0,40,1,3,0'
'662,0,47,2,1,0'
'663,0,36,1,3,0'
'664,0,20,0,3,1'
'665,0,32,1,2,0'
'666,0,25,1,2,0'
'668,0,43,2,3,0'
'670,1,40,1,2,1'
'671,0,31,1,1,0'
'672,0,70,3,2,0'
'673,0,31,1,2,1'
'675,0,18,0,3,0'
'676,0,24,1,3,0'
'677,1,18,0,3,1'
'678,1,43,2,3,0'
'679,0,36,1,1,1'
'681,0,27,1,1,1'
'682,0,20,0,3,0'
'683,0,14,0,3,0'
'684,0,60,2,2,0'
'685,0,25,1,2,0'
'686,0,14,0,3,0'
'687,0,19,0,3,0'
'688,0,18,0,3,0'
'689,1,15,0,1,1'
'690,0,31,1,1,1'
'691,1,4,0,3,1'
'693,0,25,1,3,0'
'694,0,60,2,1,0'
'695,0,52,2,2,0'
'696,0,44,2,3,0'
'698,0,49,2,1,0'
'699,0,42,2,3,0'
'700,1,18,0,1,1'
'701,0,35,1,1,1'
'702,1,18,0,3,0'
'703,0,25,1,3,0'
'704,0,26,1,3,0'
'705,0,39,1,2,0'
'706,1,45,2,2,1'
'707,0,42,2,1,1'
'708,1,22,1,1,1'
'710,1,24,1,1,1'
'712,0,48,2,1,1'
'713,0,29,1,3,0'
'714,0,52,2,2,0'
'715,0,19,0,3,0'
'716,1,38,1,1,1'
'717,1,27,1,2,1'
'719,0,33,1,3,0'
'720,1,6,0,2,1'
'721,0,17,0,3,0'
'722,0,34,1,2,0'
'723,0,50,2,2,0'
'724,0,27,1,1,1'
'725,0,20,0,3,0'
'726,1,30,1,2,1'
'728,0,25,1,2,0'
'729,1,25,1,3,0'
'730,1,29,1,1,1'
'731,0,11,0,3,0'
'733,0,23,1,2,0'
'734,0,23,1,2,0'
'735,0,28,1,3,0'
'736,1,48,2,3,0'
'737,0,35,1,1,1'
'741,0,36,1,1,0'
'742,1,21,1,1,1'
'743,0,24,1,3,0'
'744,0,31,1,3,1'
'745,0,70,3,1,0'
'746,0,16,0,3,0'
'747,1,30,1,2,1'
'748,0,19,0,1,0'
'749,0,31,1,3,0'
'750,1,4,0,2,1'
'751,0,6,0,3,1'
'752,0,33,1,3,0'
'753,0,23,1,3,0'
'754,1,48,2,2,1'
'755,0,0,0,2,1'
'756,0,28,1,3,0'
'757,0,18,0,2,0'
'758,0,34,1,3,0'
'759,1,33,1,1,1'
'761,0,41,2,3,0'
'762,0,20,0,3,1'
'763,1,36,1,1,1'
'764,0,16,0,3,0'
'765,1,51,2,1,1'
'767,1,30,1,3,0'
'769,0,32,1,3,0'
'770,0,24,1,3,0'
'771,0,48,2,3,0'
'772,1,57,2,2,0'
'774,1,54,2,2,1'
'775,0,18,0,3,0'
'777,1,5,0,3,1'
'779,1,43,2,1,1'
'780,1,13,0,3,1'
'781,1,17,0,1,1'
'782,0,29,1,1,0'
'784,0,25,1,3,0'
'785,0,25,1,3,0'
'786,1,18,0,3,1'
'787,0,8,0,3,0'
'788,0,1,0,3,1'
'789,0,46,2,1,0'
'791,0,16,0,2,0'
'794,0,25,1,3,0'
'795,0,39,1,2,0'
'796,1,49,2,1,1'
'797,1,31,1,3,1'
'798,0,30,1,3,0'
'799,1,30,1,3,0'
'800,0,34,1,2,0'
'801,1,31,1,2,1'
'802,0,11,0,1,1'
'803,0,0,0,3,1'
'804,0,27,1,3,1'
'805,0,31,1,3,0'
'806,0,39,1,1,0'
'807,1,18,0,3,0'
'808,0,39,1,2,0'
'809,1,33,1,1,1'
'810,0,26,1,3,0'
'811,0,39,1,3,0'
'812,0,35,1,2,0'
'813,1,6,0,3,0'
'814,0,30,1,3,0'
'816,1,23,1,3,0'
'817,0,31,1,2,0'
'818,0,43,2,3,0'
'819,0,10,0,3,0'
'820,1,52,2,1,1'
'821,0,27,1,3,1'
'822,0,38,1,1,0'
'823,1,27,1,3,1'
'824,0,2,0,3,0'
'827,0,1,0,2,1'
'829,1,62,3,1,1'
'830,1,15,0,3,1'
'831,0,0,0,2,1'
'833,0,23,1,3,0'
'834,0,18,0,3,0'
'835,1,39,1,1,1'
'836,0,21,1,3,0'
'838,0,32,1,3,1'
'840,0,20,0,3,0'
'841,0,16,0,2,0'
'842,1,30,1,1,1'
'843,0,34,1,3,0'
'844,0,17,0,3,0'
'845,0,42,2,3,0'
'847,0,35,1,3,0'
'848,0,28,1,2,0'
'850,0,4,0,3,0'
'851,0,74,3,3,0'
'852,1,9,0,3,0'
'853,1,16,0,1,1'
'854,1,44,2,2,0'
'855,1,18,0,3,1'
'856,1,45,2,1,1'
'857,0,51,2,1,1'
'858,1,24,1,3,1'
'860,0,41,2,3,0'
'861,0,21,1,2,0'
'862,1,48,2,1,1'
'864,0,24,1,2,0'
'865,1,42,2,2,1'
'866,1,27,1,2,1'
'867,0,31,1,1,0'
'869,0,4,0,3,1'
'870,0,26,1,3,0'
'871,1,47,2,1,1'
'872,0,33,1,1,0'
'873,0,47,2,3,0'
'874,1,28,1,2,1'
'875,1,15,0,3,1'
'876,0,20,0,3,0'
'877,0,19,0,3,0'
'879,1,56,2,1,1'
'880,1,25,1,2,1'
'881,0,33,1,3,0'
'882,1,22,1,3,0'
'883,0,28,1,2,0'
'884,0,25,1,3,0'
'885,1,39,1,3,0'
'886,0,27,1,2,0'
'887,1,19,0,1,1'
'889,0,26,1,1,1'
'890,0,32,1,3,0'
